text,label
confirm ssn immediately please,1
team building client presentation project milestone meeting updated,0
office supplies birthday celebration meeting,0
apple id paypal verify today required,1
temporary suspend immediately please,1
update payment click here authorize transaction today immediately,1
password expire paypal verify required please,1
performance review project milestone attached completed,0
click here now please,1
birthday celebration team building attached completed,0
team building meeting tomorrow training session attached,0
amazon login confirm identity required,1
training session attached,0
team lunch office supplies welcome aboard completed attached,0
apple id banking information now today,1
project milestone performance review project update meeting updated,0
project milestone meeting tomorrow scheduled meeting,0
performance review training session scheduled completed,0
amazon login confirm identity validate credentials today,1
validate credentials immediately required,1
client presentation budget approval scheduled,0
project update scheduled,0
unusual activity paypal verify confirm password today now,1
project milestone schedule,0
password expire click here please,1
meeting tomorrow completed,0
welcome aboard quarterly report attached scheduled,0
confirm ssn now,1
vacation days budget approval welcome aboard scheduled,0
budget approval performance review team lunch scheduled,0
project update team lunch schedule meeting,0
unusual activity paypal verify validate credentials today,1
meeting tomorrow quarterly report budget approval scheduled updated,0
banking information click here today,1
office supplies project milestone conference attendance attached updated,0
birthday celebration team building budget approval scheduled,0
vacation days attached schedule,0
vacation days training session team building meeting attached,0
budget approval completed,0
confirm password microsoft account now asap,1
conference attendance meeting,0
training session team lunch client presentation attached meeting,0
team lunch office supplies vacation days attached,0
budget approval completed updated,0
client presentation scheduled meeting,0
apple id banking information required,1
confirm ssn immediately now,1
team building performance review scheduled completed,0
validate credentials immediately,1
paypal verify urgent action microsoft account required,1
banking information today,1
temporary suspend today immediately,1
confirm ssn now today,1
conference attendance welcome aboard birthday celebration completed attached,0
conference attendance project milestone scheduled,0
quarterly report welcome aboard completed,0
update payment verify account today now,1
paypal verify validate credentials update payment asap,1
validate credentials urgent action required,1
temporary suspend please today,1
training session meeting tomorrow budget approval scheduled,0
paypal verify please,1
click here required immediately,1
authorize transaction microsoft account please today,1
office supplies performance review updated,0
birthday celebration attached meeting,0
verify account today immediately,1
secure link verify account confirm password please required,1
confirm identity asap,1
budget approval team lunch meeting,0
budget approval project milestone meeting schedule,0
secure link now please,1
office supplies birthday celebration scheduled updated,0
secure link immediately please,1
project update schedule updated,0
conference attendance schedule meeting,0
office supplies schedule,0
performance review office supplies completed scheduled,0
temporary suspend apple id microsoft account today now,1
apple id update payment unusual activity required,1
team lunch schedule,0
project milestone project update scheduled,0
temporary suspend confirm ssn asap,1
team building conference attendance project update meeting updated,0
