text,label
confirm ssn amazon login unusual activity now,1
confirm password required now,1
urgent action secure link required,1
apple id please now,1
authorize transaction please,1
verify account paypal verify click here now today,1
confirm password immediately,1
performance review attached,0
office supplies team lunch attached,0
update payment confirm password required today,1
client presentation attached scheduled,0
vacation days welcome aboard schedule updated,0
temporary suspend update payment urgent action asap immediately,1
budget approval project update performance review attached schedule,0
welcome aboard training session schedule meeting,0
meeting tomorrow completed scheduled,0
client presentation performance review attached,0
training session birthday celebration meeting,0
budget approval project update completed updated,0
urgent action now please,1
update payment asap,1
team building project update training session schedule,0
urgent action unusual activity please,1
verify account please asap,1
project milestone quarterly report meeting,0
click here immediately,1
banking information temporary suspend secure link asap,1
client presentation meeting completed,0
birthday celebration training session attached,0
client presentation team lunch scheduled,0
confirm password urgent action required,1
welcome aboard client presentation team building meeting scheduled,0
password expire confirm identity urgent action today,1
amazon login verify account required now,1
confirm identity validate credentials today asap,1
quarterly report office supplies updated,0
password expire please asap,1
birthday celebration project update vacation days schedule attached,0
confirm ssn asap,1
training session completed,0
quarterly report team building client presentation meeting,0
team building meeting schedule,0
click here confirm password authorize transaction today,1
team building project milestone conference attendance attached completed,0
unusual activity confirm identity password expire immediately,1
project milestone quarterly report office supplies schedule,0
verify account immediately today,1
office supplies performance review updated completed,0
paypal verify required please,1
training session schedule,0
amazon login asap today,1
welcome aboard performance review team lunch updated,0
temporary suspend update payment click here required today,1
click here unusual activity amazon login please now,1
confirm password update payment required today,1
validate credentials confirm identity now today,1
birthday celebration client presentation conference attendance attached schedule,0
validate credentials please,1
meeting tomorrow completed,0
verify account unusual activity today,1
temporary suspend update payment secure link now please,1
amazon login click here update payment now please,1
secure link validate credentials amazon login asap immediately,1
banking information confirm password confirm ssn required please,1
temporary suspend unusual activity now,1
confirm password microsoft account immediately,1
vacation days budget approval performance review meeting,0
verify account confirm ssn unusual activity required now,1
performance review team lunch client presentation schedule,0
confirm ssn required today,1
project update client presentation quarterly report scheduled,0
budget approval project update quarterly report schedule scheduled,0
client presentation vacation days scheduled,0
client presentation office supplies performance review completed,0
team building vacation days meeting tomorrow scheduled,0
update payment authorize transaction click here today,1
office supplies team building project milestone updated attached,0
performance review vacation days team building meeting schedule,0
team lunch budget approval meeting attached,0
paypal verify apple id asap today,1
apple id verify account please,1
project milestone client presentation conference attendance meeting completed,0
welcome aboard updated,0
project update training session team building attached schedule,0
training session office supplies project milestone schedule,0
update payment authorize transaction required today,1
confirm ssn unusual activity now,1
project milestone scheduled meeting,0
temporary suspend urgent action validate credentials today,1
performance review birthday celebration completed updated,0
budget approval meeting tomorrow updated,0
client presentation scheduled,0
team building welcome aboard completed,0
secure link confirm identity temporary suspend today now,1
quarterly report team building vacation days scheduled completed,0
urgent action banking information immediately,1
quarterly report training session project milestone scheduled updated,0
conference attendance team lunch birthday celebration schedule updated,0
confirm ssn authorize transaction now please,1
team lunch meeting completed,0
welcome aboard conference attendance client presentation updated completed,0
performance review scheduled completed,0
temporary suspend asap immediately,1
password expire validate credentials asap,1
birthday celebration updated scheduled,0
password expire verify account asap please,1
budget approval birthday celebration updated,0
confirm ssn click here verify account asap,1
client presentation schedule,0
project update office supplies client presentation meeting scheduled,0
temporary suspend required,1
urgent action amazon login microsoft account immediately today,1
password expire verify account immediately,1
verify account required now,1
client presentation welcome aboard birthday celebration completed,0
microsoft account temporary suspend required today,1
vacation days updated meeting,0
confirm ssn required,1
verify account immediately asap,1
verify account immediately please,1
authorize transaction today,1
verify account password expire apple id immediately asap,1
project update performance review updated attached,0
banking information now,1
team lunch schedule attached,0
conference attendance birthday celebration updated attached,0
quarterly report welcome aboard office supplies schedule meeting,0
project milestone meeting tomorrow birthday celebration meeting,0
confirm identity now,1
confirm password urgent action today please,1
authorize transaction asap today,1
vacation days scheduled,0
training session schedule,0
client presentation schedule completed,0
conference attendance budget approval office supplies scheduled,0
confirm password amazon login urgent action please,1
team lunch birthday celebration updated scheduled,0
verify account click here confirm password please asap,1
conference attendance welcome aboard updated,0
conference attendance meeting tomorrow vacation days scheduled attached,0
microsoft account asap,1
meeting tomorrow attached updated,0
unusual activity today,1
banking information secure link immediately asap,1
team lunch meeting tomorrow scheduled,0
client presentation team building attached,0
training session project update welcome aboard updated scheduled,0
confirm password banking information password expire asap,1
team lunch schedule attached,0
meeting tomorrow office supplies performance review attached updated,0
apple id banking information confirm password now required,1
meeting tomorrow performance review completed,0
confirm ssn secure link microsoft account now,1
apple id paypal verify asap,1
project milestone birthday celebration completed attached,0
office supplies updated,0
vacation days welcome aboard project milestone scheduled completed,0
urgent action now,1
banking information unusual activity update payment today,1
quarterly report client presentation schedule,0
client presentation meeting tomorrow welcome aboard updated attached,0
confirm ssn confirm password password expire now immediately,1
password expire immediately required,1
confirm identity confirm ssn amazon login please,1
click here required,1
update payment validate credentials apple id asap,1
click here please,1
verify account microsoft account click here now required,1
click here verify account authorize transaction asap immediately,1
conference attendance completed,0
training session birthday celebration client presentation completed,0
microsoft account immediately today,1
project milestone meeting tomorrow completed schedule,0
password expire validate credentials asap immediately,1
client presentation attached meeting,0
paypal verify asap now,1
confirm password confirm identity confirm ssn required,1
office supplies schedule,0
confirm identity now asap,1
verify account today immediately,1
team building welcome aboard meeting,0
update payment required,1
validate credentials required,1
confirm identity immediately today,1
birthday celebration project milestone welcome aboard meeting completed,0
budget approval project update meeting,0
conference attendance budget approval completed attached,0
team building updated scheduled,0
birthday celebration schedule,0
password expire required,1
click here validate credentials please required,1
confirm ssn update payment apple id today,1
conference attendance meeting tomorrow updated,0
client presentation schedule completed,0
validate credentials confirm ssn immediately,1
temporary suspend apple id unusual activity immediately required,1
welcome aboard team lunch team building updated completed,0
project update performance review updated,0
urgent action please required,1
secure link immediately now,1
secure link click here banking information now,1
apple id secure link today,1
banking information amazon login update payment now,1
conference attendance attached scheduled,0
click here unusual activity immediately required,1
paypal verify asap now,1
paypal verify immediately asap,1
meeting tomorrow team building meeting,0
confirm password microsoft account asap,1
secure link microsoft account today now,1
amazon login paypal verify immediately asap,1
validate credentials urgent action unusual activity asap immediately,1
conference attendance team building welcome aboard attached,0
office supplies project update training session scheduled meeting,0
banking information update payment paypal verify required today,1
quarterly report client presentation birthday celebration completed attached,0
project update meeting,0
confirm password required,1
temporary suspend urgent action confirm password asap now,1
verify account amazon login unusual activity now,1
unusual activity banking information apple id please,1
confirm password required,1
team building project milestone vacation days attached,0
welcome aboard meeting tomorrow scheduled,0
project milestone budget approval scheduled,0
confirm ssn asap,1
secure link today,1
welcome aboard updated,0
conference attendance office supplies schedule completed,0
budget approval team lunch schedule scheduled,0
apple id secure link click here required,1
budget approval meeting tomorrow attached completed,0
banking information immediately please,1
team building scheduled,0
budget approval schedule meeting,0
confirm ssn urgent action password expire asap,1
urgent action immediately,1
quarterly report vacation days office supplies completed updated,0
quarterly report training session meeting schedule,0
project update budget approval welcome aboard schedule scheduled,0
office supplies performance review updated completed,0
office supplies vacation days attached,0
budget approval training session attached,0
validate credentials unusual activity verify account now,1
training session meeting,0
verify account immediately asap,1
project milestone training session conference attendance meeting updated,0
quarterly report schedule,0
project update training session conference attendance updated schedule,0
confirm password password expire please asap,1
team building meeting schedule,0
confirm identity paypal verify please,1
birthday celebration office supplies budget approval completed meeting,0
temporary suspend secure link now please,1
training session team building conference attendance schedule meeting,0
client presentation budget approval project milestone schedule completed,0
budget approval vacation days meeting scheduled,0
office supplies attached,0
welcome aboard updated schedule,0
temporary suspend urgent action banking information required,1
conference attendance scheduled attached,0
project update conference attendance scheduled,0
apple id click here today asap,1
client presentation welcome aboard team lunch updated completed,0
training session birthday celebration project milestone attached,0
performance review completed scheduled,0
quarterly report budget approval meeting tomorrow schedule scheduled,0
microsoft account apple id immediately,1
project milestone updated,0
banking information temporary suspend required please,1
training session updated,0
team building budget approval quarterly report scheduled attached,0
